Class;Coverage;Estimate Complexity
XWikiDocumentOutputFilterStream;[90%-100%];2.38
XWikiEventTypesEnabler;[90%-100%];1.55
XWikiException;[60%-70%];1.55
XWikiExecutorSuite;[70%-80%];2.65
XWikiExecutorTestMethodFilter;[10%-20%];1.0
XWikiExtension;[80%-90%];4.03
XWikiExtensionDependency;[60%-70%];3.2
XWikiExtensionFile;[50%-60%];1.55
XWikiExtensionFile.XWikiExtensionFileInputStream;[90%-100%];1.0
XWikiExtensionRepository;[60%-70%];2.38
XWikiExtensionRepositoryFactory;[70%-80%];1.55
XWikiExtensionValidator;[90%-100%];2.38
XWikiFileDeletedDocumentContent;[70%-80%];1.55
XWikiForm;[60%-70%];1.0
XWikiGeneratorSink;[50%-60%];1.0
XWikiGlobalRightsDocumentInitializer;[90%-100%];1.0
XWikiGroupServiceImpl;[60%-70%];3.2
XWikiGroupsDocumentInitializer;[90%-100%];1.55
XWikiHeaderTagHandler;[80%-90%];5.12
XWikiHibernateAttachmentStore;[30%-40%];4.3
XWikiHibernateRecycleBinStore;[60%-70%];1.55
XWikiHibernateRecycleBinStore.DeletedDocumentsHibernateCallback;[90%-100%];1.55
XWikiHibernateStore;[60%-70%];4.3
XWikiHibernateTransaction;[30%-40%];1.55
XWikiHibernateVersioningStore;[80%-90%];1.55
XWikiIconTransformationConfiguration;[90%-100%];1.0
XWikiImageTagHandler;[90%-100%];2.65
XWikiInitializerJob;[80%-90%];1.55
XWikiInitializerJobStatus;[90%-100%];1.0
XWikiInitializerRequest;[30%-40%];1.0
XWikiJaxRsApplication;[90%-100%];1.0
XWikiJestClientFactory;[90%-100%];1.0
XWikiJobResource;[80%-90%];4.03
XWikiLink;[80%-90%];1.0
XWikiLinkCheckerTransformationConfiguration;[90%-100%];1.0
XWikiLinkLabelGenerator;[80%-90%];3.2
XWikiLiquibaseLogger;[20%-30%];1.55
XWikiLocalizationContext;[70%-80%];4.03
XWikiLock;[90%-100%];1.0
XWikiLogOutputStream;[90%-100%];1.55
XWikiLogger;[0%-10%];1.0
XWikiLoggerManager;[40%-50%];1.0
XWikiMacroHandler;[80%-90%];3.48
XWikiMacroTransformationConfiguration;[90%-100%];1.0
XWikiMathTool;[30%-40%];1.0
XWikiMessageTool;[80%-90%];3.2
XWikiModelNode;[80%-90%];2.38
XWikiNumberTool;[30%-40%];1.0
XWikiParser;[80%-90%];1.55
XWikiPatch;[70%-80%];1.55
XWikiPatchUtils;[80%-90%];2.38
XWikiPreferencesDocumentInitializer;[90%-100%];1.55
XWikiPreferencesDocumentTranslationBundle;[90%-100%];1.0
XWikiPreferencesWikiTranslationBundle;[90%-100%];1.55
XWikiPropertiesConfigurationSource;[70%-80%];3.2
XWikiRCSArchive;[90%-100%];3.2
XWikiRCSArchive.XWikiJRCSNode;[70%-80%];2.38
XWikiRCSNodeContent;[80%-90%];1.0
XWikiRCSNodeId;[80%-90%];1.0
XWikiRCSNodeInfo;[90%-100%];1.55
XWikiReferenceParser;[80%-90%];5.68
XWikiReferenceTagHandler;[80%-90%];3.2
XWikiRenderingConfiguration;[60%-70%];1.0
XWikiRenderingContext;[90%-100%];2.65
XWikiRepositoryModel;[80%-90%];1.55
XWikiRepositoryModel.ExtensionSolrField;[70%-80%];1.55
XWikiRepositoryModel.RatingSolrField;[30%-40%];1.55
XWikiRepositoryModel.SolrField;[90%-100%];1.0
XWikiRequestProcessor;[70%-80%];3.48
XWikiRequestProcessor.RequestProcessorServletRequestWrapper;[60%-70%];1.55
XWikiResource;[60%-70%];3.2
XWikiResource.DocumentInfo;[90%-100%];1.0
XWikiRestException;[30%-40%];1.0
XWikiRestExceptionMapper;[70%-80%];4.03
XWikiRestletJaxRsApplication;[90%-100%];1.0
XWikiRestletServlet;[80%-90%];2.65
XWikiRightNotFoundException;[30%-40%];1.0
XWikiRightServiceImpl;[70%-80%];8.43
XWikiRightsDocumentInitializer;[90%-100%];1.0
XWikiScannerUtil;[80%-90%];7.6
XWikiScriptContextInitializer;[80%-90%];5.68
XWikiSecretVerifier;[10%-20%];2.65
XWikiSecurityRule;[80%-90%];2.38
XWikiServerClassDocumentInitializer;[90%-100%];1.55
XWikiServerXwikiDocumentInitializer;[80%-90%];2.65
XWikiServletContext;[80%-90%];1.0
XWikiServletContextListener;[80%-90%];4.3
XWikiServletRequestStub;[50%-60%];1.0
XWikiServletResponse;[50%-60%];1.0
XWikiServletResponseStub;[20%-30%];1.0
XWikiServletURLFactory;[70%-80%];2.65
XWikiSetupCleanupFilter;[80%-90%];2.65
XWikiSkinFileOverrideClassDocumentInitializer;[90%-100%];1.0
XWikiSkinsDocumentInitializer;[90%-100%];1.55
XWikiSpace;[80%-90%];1.55
XWikiSpanTagHandler;[80%-90%];5.68
XWikiStatsReader;[10%-20%];3.2
XWikiStatsServiceImpl;[60%-70%];1.55
XWikiStatsStoreService;[20%-30%];2.65
XWikiStubContextInitializer;[90%-100%];3.2
XWikiSyntaxBlockRenderer;[90%-100%];1.0
XWikiSyntaxBlockRenderer;[90%-100%];1.0
XWikiSyntaxChainingRenderer;[90%-100%];1.0
XWikiSyntaxEscapeHandler;[90%-100%];2.65
XWikiSyntaxEscapeWikiPrinter;[80%-90%];2.65
XWikiSyntaxImageReferenceSerializer;[90%-100%];1.0
XWikiSyntaxImageReferenceSerializer;[90%-100%];1.0
XWikiSyntaxLinkReferenceSerializer;[90%-100%];1.0
XWikiSyntaxListenerChain;[70%-80%];1.0
XWikiSyntaxMacroRenderer;[90%-100%];3.48
XWikiSyntaxRenderer;[90%-100%];1.0
XWikiSyntaxRenderer;[90%-100%];1.0
XWikiSyntaxRendererFactory;[90%-100%];1.0
XWikiSyntaxRendererFactory;[90%-100%];1.0
XWikiSyntaxResourceRenderer;[90%-100%];1.55
XWikiSyntaxResourceRenderer;[90%-100%];3.48
XWikiTableDataTagHandler;[70%-80%];6.78
XWikiTestSetup;[70%-80%];1.0
XWikiToStringBuilder;[90%-100%];1.0
XWikiToStringBuilderTest.TestClass;[90%-100%];1.0
XWikiUser;[80%-90%];1.55
XWikiUsersDocumentInitializer;[90%-100%];1.55
XWikiValidationStatus;[30%-40%];1.55
XWikiVelocityConfiguration;[90%-100%];1.0
XWikiVelocityException;[90%-100%];1.0
XWikiWatchdog;[80%-90%];5.95
XWikiWebDriver;[60%-70%];1.55
XWikiWikiModel;[80%-90%];3.48
XWikiWikiParameters;[90%-100%];1.0
XWikiWikiReference;[40%-50%];1.55
XYLine3DPlotGenerator;[90%-100%];1.0
XYLineAndShapePlotGeneratorXYStepPlotGenerator;[90%-100%];1.0
XarEntry;[30%-40%];1.0
XarExtensionConfiguration.DocumentProtection;[30%-40%];1.0
XarExtensionHandler;[70%-80%];5.12
XarExtensionJobFinishedListener;[70%-80%];4.03
XarExtensionPlan;[80%-90%];2.65
XarExtensionPlanEntry;[60%-70%];1.0
XarExtensionValidator;[90%-100%];1.0
XarFile;[60%-70%];1.55
XarInstalledExtension;[70%-80%];1.0
XarInstalledExtensionRepository;[70%-80%];3.2
XarObjectPropertySerializerManager;[90%-100%];2.65
XarScriptService;[50%-60%];2.65
XarSecurityEntryReaderExtra;[20%-30%];5.95
XarSecurityTool;[10%-20%];4.3
XarUtils;[60%-70%];11.73
XhtmlCharacter;[70%-80%];1.0
XhtmlHandler;[90%-100%];1.55
XhtmlParser;[80%-90%];1.0
ZipExplorerPlugin;[80%-90%];3.48
